Tweet ID,Screen Name,Number of Followers,Location,Tweet
1454843910107410432,absolute_racing,2351,"Zhuhai, Shanghai, Sepang, Thai","b""#TSS -&gt; If you missed the Buriram\xf0\x9f\x87\xb9\xf0\x9f\x87\xad track action, here's what happened:\n\nA great start to the 2021\xe2\x80\xa6 https://t.co/qWqRI7oGZB"""
1454841398063255553,audisport,268770,Ingolstadt,"b'Champions in Italy: @MattiaDrudi, Lorenzo Ferrari and @Rickyagostini claim the @CIGranTurismo endurance crown in th\xe2\x80\xa6 https://t.co/1YHDqlbdTj'"
1454835770808799233,LVJYpebbIebrain,709,AIMSEY SAW IT,b'@phantominnitt custom license plate on our audi r8'
1454816719244042249,_CarCollective,9698,,b'Howdy! One of my personal favourites!\n\n#CC0068 Based on the Audi R8\n\nGold Category.\n\n- Blue Paint\n- Black Wheels\n-\xe2\x80\xa6 https://t.co/x15TqLIYQ9'
1454814293866815491,youtuberblogcom,0,Canada,"b'@WatchJRGo1198 New example blog posting just created by YoutubersBlog. ""Delivering CANDY To Kids With My Twin Turbo\xe2\x80\xa6 https://t.co/LdDznChDKi'"
1454809135363477504,SpideyFan43,68,"Phoenix, AZ","b""I'm selling 'Hot Wheels - Audi R8 LMS: Car Culture - Open Track #5/5 (2019) *Real Riders*' Click to see https://t.co/n9ch7LQmXv"""
1454798970090229769,SaveHindus4,3724,Bharathvarsha,b'@HLKodo Also add two Audi cars R8 latest - The EV version. Then only he will accept'
1454783468404043791,LinaJamsari,60027,N9,b'the matte black audi r8 is beautiful'
1454781817702141964,suriarteta,258,malaysia ,"b'@SankariJai1 I know , I know \xf0\x9f\x98\x82\n\nJust wish there could\xe2\x80\x99ve been some closure . Me yelling . Saying she made the wrong\xe2\x80\xa6 https://t.co/xqrvaJSGY1'"
1454778445356060687,CollectorCarCan,1,,"b'R8 ext. listing; Auctions-Audi, 911 Project\nhttps://t.co/LOGv9ok2xJ https://t.co/Z8hoIfRfGQ'"
1454740910823116800,audisport,268770,Ingolstadt,b'Victory in Thailand: Daniel Bilski and @MRumpRacing drove their @BQuikRacing @absolute_racing #26 Audi R8 LMS to vi\xe2\x80\xa6 https://t.co/mWdguZ9vUQ'
1454693018875965440,nairobi_post,62,,b'Blacked out Audi R8 https://t.co/LaSTObYzVk'
1454683315185799170,aloneinbalboa,203,,b'@estelwehn My favourite car is the Audi R8 \xf0\x9f\xa5\xb0'
1454647939335327746,mememiso_,92,your closet ,b'just saw a literal 18 year old driving an audi r8 sir please return your dads car to the garage he will be mad'
1454639873814564865,goro_pancakes,1,whOp,b'@vanguard7_ fucking scared of people like you under the weight of some sertraline a couple Prozacs and now im pumpi\xe2\x80\xa6 https://t.co/XK7BhkMg0K'
1454623903653904386,Racecars_bot,1033,,b'Blancpain GT Series/Endurance:2014 Audi R8 LMS Ultra #4 (Belgian Audi Club Team WRT) Spa24h Coloring Edition https://t.co/VkPPpKiMfp'
1454610502965923841,Michell63130503,384,,b'@srfn_fitness Is that an Audi R8? \xf0\x9f\x98\xb1\xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99\xf0\x9f\x92\x99'
1454599256942260228,galpinautosport,3749,"Los Angeles, CA",b'Thats a wrap for the week! \xf0\x9f\x98\x8e\n\n@3M Matte White really brought new life to this refreshed Audi R8.\n\n#GalpinAutoSports\xe2\x80\xa6 https://t.co/V6MVj7pzJI'
1454595318713040900,C123Idontneedu,3,,"b""@JayzTwoCents I bet a tesla would still leave this vet in the dust. I don't care for @Tesla or these new Corvettes.\xe2\x80\xa6 https://t.co/guGU3RDt9o"""
1454576035517931524,NoirVermouth,2444,Antarctica,"b'@PapeStacka Audi R8 in the clip, Drill music, insta like'"
1454568954995871745,completecar,5371,Ireland,"b""Audi R8 V10 performance RWD gets more power.\n\nWe've got all the details in our news story. https://t.co/oHHcPMeiTN https://t.co/FGHBxUozDD"""
1454543377010151439,servilewspatch,8,,b'#premiumcars Audi R8 Case for iPhone 4 4S 5 5C SE 6 6S 7 Plus iPod Touch 4 5 6 https://t.co/97LAB4DAVh'
1454541999546245125,chfilmmaking,1225,"London, England","b'This what happened to me wanting my Audi R8, it will be something to pick up when everything else is done. https://t.co/Kv20LKRLfG'"
1454541168725872650,Audi_Obsession,416,"Toronto, Ontario","b""\xf0\x9f\x98\xa2 Audi R8 V10 Plus crashes into a ditch. Drive safe. Audi and quattro are as good as you are as a driver. That's tr\xe2\x80\xa6 https://t.co/9bOD2mMGSV"""
1454536755995103240,slab_____,56,"Northern Appalachia, USA",b'@PeppermintFlyBy the r8 looks cool but i always found the shape kinda awkward like if i was trying to draw the silh\xe2\x80\xa6 https://t.co/uCAeX7x5rc'
1454531513337344004,MrHealthnut,15579,"Sedona, AZ",b'\xe2\x9a\xa1\xef\xb8\x8f MY REVIEW of The rare Audi R8 Panther edition! #SuperCars https://t.co/u3KmTws6EJ'
1454523369110581248,MattsModelCars,100,Model & Diecast Motors,b'Those who keep driving their supercars going through the Autumn &amp; Winter months. We salute you! \n\nPhotography By:\xe2\x80\xa6 https://t.co/En48i5LWld'
1454515765906788352,PeppermintFlyBy,1743,Venmo @emory-dubuque-1,"b""audi R8 is probably the only supercar I would ever want, its the only one that doesn't look like a 10 year old designed it"""
1454512889188978688,stratfordmark,183,Darlington,"b""@rallystar944t @1964flyingscot That's pretty good....try looking at Audi R8 magride shocks...."""
1454512384521932801,ajebasingh,28,,b'@partinoble @chevrolet Eddy - it\xe2\x80\x99s not just about the environment. Tesla cars are just a whole new experience. 3 ye\xe2\x80\xa6 https://t.co/o0w1YaPgVu'
1454509613945131008,JaMtoka,4850,"Bay Area, Kenya","b'Audi has dropped V10s in all but the R8, too, instead using twin-turbo V8s. A rational choice, to be certain, but n\xe2\x80\xa6 https://t.co/93mU8P0h1j'"
1454495594773352454,LuxuryCars365,33879,United States,b'The Squad \xf0\x9f\xa5\xb6 #Audi #R8 https://t.co/rlJO8dwDYq'
1454491869224730628,Toe_Knee_Win,135,"Arizona, USA","b'@Frankiexii @earthulabae Hey frank, thanks for lending me your audi r8 for my buddies music video. \xf0\x9f\x99\x8f'"
1454485901833347078,CarHuntersUK,1297,Essex,"b""We've got a new V10 Plus in town \xf0\x9f\x99\x88\n\nLooking for more information before it hits the website? Drop our team a messag\xe2\x80\xa6 https://t.co/MkaVqMBMd4"""
1454466630407401472,LuxuryCars365,33879,United States,b'Blacked Out Audi R8 \xe2\x99\xa0\xef\xb8\x8f https://t.co/BNN0Rqj20h'
1454435309534556165,audisport,268770,Ingolstadt,"b'Championship leaders @MattiaDrudi, Lorenzo Ferrari and @Rickyagostini will start the @CIGranTurismo Endurance seaso\xe2\x80\xa6 https://t.co/iBaoohC9wi'"
1454435204114702341,Racecars_bot,1033,,b'Blancpain GT Series/Sprint:2014 Audi R8 LMS Ultra #3 (G-Drive Racing) https://t.co/00vrYnevWo'
1454427582598766600,Racecars_bot,1033,,b'Blancpain GT Series/Endurance:2014 Audi R8 LMS Ultra #3 (Belgian Audi Club Team WRT) Spa24h Coloring Edition https://t.co/GE9l7GIA1g'
1454427031362580487,CNRush,3283,wherever the music is d(-_-)b.,"b'Audi Hires Photographer To Shoot Their $200,000 Sports Car, He Uses A $40 Toy Car Instead (and it\xe2\x80\x99s glorious) https://t.co/6isq5QCw3K'"
1454420447127277572,audisport,268770,Ingolstadt,b'Podium in @Th_SuperSeries: Daniel Bilski and @MRumpRacing drove their BQuik Absolute Racing #26 Audi R8 LMS to P3 i\xe2\x80\xa6 https://t.co/KCugjvS5xG'
1454417987461582849,StartAlternator,26,United Kingdom,b'\xf0\x9f\x9a\xa8NEW AUDI STOCK ADDED\xf0\x9f\x9a\xa8\n\nStarter Motor: XIX1408\nFits: Audi R8 5.2 Petrol 2015&gt;\n\xf0\x9f\x9b\x92 Available here:\xe2\x80\xa6 https://t.co/Jb2ehM7Cvr'
1454397697377640454,absolute_racing,2351,"Zhuhai, Shanghai, Sepang, Thai",b'#TSS -&gt; #BQuikAbsoluteRacing Audi R8 LMS GT3 cars bounced back from an accident at T1 to finish third (Daniel Bilsk\xe2\x80\xa6 https://t.co/rfx2SxKUsd'
1454382596893253633,augyonmolly,28,,b'@abdihereyt Did u get audi R8 ??'
1454377718439718916,audisport,268770,Ingolstadt,b'Pole in @Th_SuperSeries: @MRumpRacing qualified his #26 BQuik AbsoluteRacing Audi R8 LMS in first place for the sec\xe2\x80\xa6 https://t.co/anLftibgLg'
1454377020863959043,audisport,268770,Ingolstadt,b'Absolute Racing will start from row 2 in todays first race of @Th_SuperSeries at Buriram. Daniel Bilski and\xe2\x80\xa6 https://t.co/C8g2AVGZGQ'
1454331778345353217,absolute_racing,2351,"Zhuhai, Shanghai, Sepang, Thai","b""#TSS -&gt; @MRumpRacing qualified his No.26 #BQuikAbsoluteRacing Audi R8 LMS GT3 in first place during today's Thailan\xe2\x80\xa6 https://t.co/BAWEuzkZbA"""
1454311599305420806,cather_patrick,26,,b'@liensofnewyork Cool on Top Gear but not anymore. About as relevant as a 2008 Audi R8.'
1454303078748852224,alishavivienne,57,pluto,"b'i want an Audi R8 v10 spyder, Toyota 86 and the new Supra okay thank u'"
1454288464044642304,AddictBoost,1046,,b'Another 1200+ wheel horsepower stock internal Audi R8 V10 5.2 - Excell Racing built Garrett GTX 3582R twin turbo R8\xe2\x80\xa6 https://t.co/Q58zHxBV1n'
1454279906636881926,AudiBoost,656,USA,b'Another 1200+ wheel horsepower stock internal Audi R8 V10 5.2 - Excell Racing built Garrett GTX 3582R twin turbo R8\xe2\x80\xa6 https://t.co/fiLWxsmc7a'
1454273225580445698,JAPspirit,5453,"New York, USA",b'Stancenation 2016 Audi R8 white body at odaiba 1 https://t.co/9kREhB25bS'
1454252215355412480,DougKoch14,31,Where it is warm ,"b'@Bitcoindad88 @LoveIsBitcoin21 I sold my Audi R8 a few weeks ago, bought more bitcoin. I have another car, trying t\xe2\x80\xa6 https://t.co/oDy80Tn2dF'"
1454252040314671104,OctaneOG,167,The back of a Pontiac Aztek,b'Some rich asshole was cutting up traffic behind me in an Audi R8 and I was so tempted to lightly tap the brakes and get my own R8 smh'
1454236807189704710,RatRunner48,40,,b'@DiecastHype When the Audi R8 wants to be a chevy'
1454222564071559171,Sibayamani,208,Jeddah,"b'Are u ok?\nNo, but an Audi R8 would fix it. https://t.co/gUpVcEL268'"
1454186819030065155,praimfyre,28,,b'@Cryptoking @FrodoUnderhill7 Just because you\xe2\x80\x99re profile pic is a Audi R8 my dream car \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\n\nAlso to do you a favor c\xe2\x80\xa6 https://t.co/iXGTK2NT9v'
1454186588586463234,JonHampton,340,"TrackTown, USA","b'Could also go with the time I was at a Nike exec\xe2\x80\x99s house and there were two Ducati\xe2\x80\x99s, a Ferrari, a new ZR1, an R8 a\xe2\x80\xa6 https://t.co/qygGvi0k9Q'"
1454182910643298314,LawDragon1994,190,Marshall Dojo,"b'@BlackPanthaaYT Wait... why no Honda NSX, Nissan 350Z, Aston Martin DBS, Audi R8 or Ferrari 458?'"
1454167677950468104,Oskar980837,7,,"b'@robi4tv I have all of them, oh they have to give me also the Ferrari 458 from fm4, the Audi r8 from fm3 and the 350Z from fm2\xf0\x9f\x98\x85'"
1454166562861166596,PlebLewis,495,Twitch.tv/pleblewis,b'@YellingMadman Audi R8 spider honestly that upgraded is so good'
1454159348301697031,nftcalendar,9573,,b'This is the first release of @EthercarsInfo with the most limited edition\xf0\x9f\x98\x9c\n\xe2\xa0\x80\nThis first #NFT is from the Audi R8 mo\xe2\x80\xa6 https://t.co/bmjbtRwjqZ'
1454155741724430337,Racecars_bot,1033,,b'Blancpain GT Series/Endurance:2014 Audi R8 LMS Ultra #22 (Team Parker Racing) https://t.co/Cqi4NHfqwK'
1454150044123377665,Karlcox66667872,137, England ,"b'@MKid12276995 @HypnoTo78733548 I mightn\xe2\x80\x99t fit into one , I\xe2\x80\x99m 6 foot 5 . My mate has the new Honda NSX , it\xe2\x80\x99s a stru\xe2\x80\xa6 https://t.co/z7PxxpTqh1'"
1454146020477181958,advantagelifts,448,"Hanover, PA","b""On S5 E8 of Chasing Classic Cars, Wayne buys a 1928 Indian Scout 101, and he can't wait to take it out on the track\xe2\x80\xa6 https://t.co/LYJwF5cxVJ"""
1454123888116383745,ItsCammyDubs,1921,Japan,b'@Brandonumber9 She really think we her pet monkeys or something if she don\xe2\x80\x99t hop in her damn Audi R8 or Range Rover ???'
1454117033625411586,rotkivking,0,,b'@Hantyfleak audi r8 EASSSSSSYYYYYY EASILYY EZ EZ EZ'
1454112021851557895,Plusitive__,309,Ontario,"b""@Velvetune i'm just now realizing that using images of an audi r8 to describe a greek hellscape is so bizarre \xf0\x9f\xa5\xb4"""
1454106766501888002,PackRunnerAwol,83,$YkKuro1,b'Everytime I hear Izaya go \xe2\x80\x9cI want an Audi R8\xe2\x80\x9d I think of \xe2\x80\x9c\xf0\x9f\x98\xa9\xe2\x80\x9dfor sum reason'
1454101200861900803,JCMGAudi,319,"Aberdeen and Dundee, Scotland","b'Discover The Audi New Car Range Online.\n\nFrom the A1 Sportback to the Legendary R8, we have a car for everyone in t\xe2\x80\xa6 https://t.co/CulfMrb9BY'"
1454098429005553665,osoilatee,190,CA,b'I JUST RAN FROM 12 IN AUDI R8 THIS AINT STOCK SHIT https://t.co/IHBZfUoLMh'
1454075414004084739,davemyopinion,3376,In the Doghouse or a cemetery,b'@paulf774 Absolutely. My dream supercars l is the Audi R8 V10 Spider'
1454065902165581828,Ashylee11,75,"Mombasa, Kenya",b'@AssSwetto A black Audi R8 \xf0\x9f\xa5\xba\xf0\x9f\xa4\xb2'
1454059671808053252,monarch_ent,969,"Lincoln, England","b'Ara Blue \xf0\x9f\x92\x99 2017/17 #Audi R8 V10+ with 18,936 miles and available for \xc2\xa394,990 today #MonarchEnterprises #AudiR8 https://t.co/iylAXtSlUh'"
1454029584207331330,MysteriosoX,4091,Timbuktu,"b""@Only9built @shiv5468 @jonboyjon1976 I've found the perfect R8 for her as a short novice driver\n\nhttps://t.co/mAtryTW0FL"""
1454024468322525189,SaintelocRacing,3244,"Saint-Etienne, France",b'Want to play with our #indy8h winning Audi R8 LMS GT3 Evo # 25 in @AC_assettocorsa ? \n\n#IGTC #beACC #AssettoCorsa https://t.co/MAGybTplgp'
1454008534803238916,Lebarg_39,793,PS ID : LebargOnTop,b'Phoenix Racing - Audi R8 LMS GT3 Evo\nFIA GT World Cup Macau - 2019\nChristopher Haase https://t.co/scnIEoHV67'
1454005282191941636,woyou9,7,Poland,b'@PrincessBabynox @Breathlyy thank you for saving my dog from that fire 2 weeks ago and then driving us to the hospi\xe2\x80\xa6 https://t.co/ILawh3ntF9'
1453974796316803075,Racecars_bot,1033,,b'FIA-GT Series:2013 Audi R8 LMS Ultra #18 (Team WRT) https://t.co/T1C6sbKpLT'
1453969641382969362,_talalegria,652,laurence ♡,b'audi r8 in the next 4yrs cutie'
1453949450699771911,Tranzportz1,1639,EUREGIO NL / D / B,b'My New Audi R8 V8 Cold Start :) https://t.co/2vj3C5T16J'
1453949418818867201,Purgato30507553,1314,🔔,"b'@Fred12780 @jimbrown32 @Donmel21 @Debra4KAG Couldn\xe2\x80\x99t afford an R8 Audi like Bernie, Fred  ?'"
1453945780037771265,flacobebesito,72,,b'@emelyliss_ @gmsxx__ i mean bro thank you for letting me use your audi r8 (pssst its gabs favorite car) \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xe2\x9c\x8a\xf0\x9f\x8f\xbd\xe2\x9c\x8a\xf0\x9f\x8f\xbd'
1453935207850020867,CarClassified_,46,,b'2015 Audi R8 V10 Red  used for sale \nhttps://t.co/XVGG10yAgB https://t.co/YfXetoCPTo'
1453926908886806536,F_carbot,7170,,b'2007 Audi R8 Liberty Walk LB-WORKS https://t.co/kFIZjFhjcE'
