,Address,price,num_of_bedrooms,num_of_bathrooms,square_footage,Year Built,Times on Zillow,Number of Views
64,"235 W 75th St APT 412, New York, NY 10023","$7,300,000",4,5,"3,228",1995,N/A,N/A
65,"180 W End Ave APT 19P, New York, NY 10023","$540,000",Studio,1,--,1981,N/A,N/A
66,"49 W 72nd St APT 16B, New York, NY 10023","$619,000",1,1,--,2021,N/A,N/A
67,"40 W 72nd St APT 121, New York, NY 10023","$2,895,000",3,3,--,1969,222 days,269
68,"12 W 72nd St #6G, New York, NY 10023","$415,000",Studio,1,--,1960,N/A,N/A
69,N/A,N/A,N/A,N/A,N/A,2018,N/A,N/A
70,"235 W End Ave APT 9C, New York, NY 10023","$899,000",1,1,676,1965,N/A,N/A
71,"128 W 70th St APT 3, New York, NY 10023","$599,000",Studio,1,--,1930,200 days,288
72,"15 Central Park W APT 3F, New York, NY 10023","$6,395,000",2,3,"1,987",1926,420 days,245
73,"160 W 66th St APT 56F, New York, NY 10023","$2,995,000",2,3,"1,239",1927,N/A,N/A
74,"303 W 66th St APT 11EE, New York, NY 10023","$1,695,000",3,2,"1,300",N/A,N/A,N/A
75,"111 W 67th St APT 31F, New York, NY 10023","$2,500,000",2,2,"1,055",1927,104 days,163
76,"80 Central Park W APT 7A, New York, NY 10023","$1,950,000",1,2,950,1930,25 days,515
77,"2112 Broadway #4C, New York, NY 10023","$4,300,000",3,4,"2,050",1900,N/A,N/A
78,"315 W 70th St APT 15B1, New York, NY 10023","$650,000",1,1,--,2007,N/A,N/A
79,N/A,N/A,N/A,N/A,N/A,1989,N/A,N/A
80,"2109 Broadway APT 1002, New York, NY 10023","$950,000",1,1,750,1962,N/A,N/A
81,"201 W 70th St APT 30K, New York, NY 10023","$2,125,000",2,2,--,1994,N/A,N/A
82,"140 W 69th St APT 75B, New York, NY 10023","$399,000",Studio,1,355,1968,N/A,N/A
83,"201 W 70th St APT 8K, New York, NY 10023","$879,000",1,1,700,1928,N/A,N/A
84,"140 W 69th St APT 45C, New York, NY 10023","$365,000",Studio,1,--,1963,112 days,245
